Date : 2023-02-24 09:02:53
Directory : d:\sw\VUE\vue3\sn-blog\src
Total : 141 files,  7968 codes, 811 comments, 962 blanks, all 9741 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Vue        |         73 |      5,533 |         56 |        633 |      6,222 |
| TypeScript |         63 |      2,266 |        690 |        273 |      3,229 |
| SCSS       |          2 |        157 |         65 |         53 |        275 |
| XML        |          3 |         12 |          0 |          3 |         15 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\sw\VUE\vue3\sn-blog\src\views\page\book\BookIndex.vue                                  | Vue        |        108 |          0 |         14 |        122 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\book\components\BookBar.vue                         | Vue        |         13 |          0 |          2 |         15 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\book\components\BookFilm.vue                        | Vue        |         27 |          0 |          3 |         30 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\book\index.scss                                     | SCSS       |         43 |         13 |         18 |         74 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\leave\Leave.vue                                     | Vue        |        235 |          0 |         49 |        284 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\listContent\ListContent.vue                         | Vue        |         90 |          0 |         14 |        104 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\navigation\BlogCircles.vue                          | Vue        |        100 |          1 |         19 |        120 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\navigation\BlogCirclesSide.vue                      | Vue        |         87 |          2 |         21 |        110 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\navigation\Favorite.vue                             | Vue        |        160 |          1 |         26 |        187 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\one\OneSidebar.vue                                  | Vue        |         41 |          0 |          8 |         49 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\one\components\OneCategory.vue                      | Vue        |         48 |          0 |          5 |         53 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\one\components\OneContent.vue                       | Vue        |         74 |          0 |         11 |         85 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\one\components\OneSidetype.vue                      | Vue        |        129 |          0 |          7 |        136 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\one\components\OneTop.vue                           | Vue        |         72 |          0 |          9 |         81 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\one\data\index.ts                                   | TypeScript |         53 |          0 |          8 |         61 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\one\index.vue                                       | Vue        |         42 |          0 |          7 |         49 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\photo\PhotoIndex.vue                                | Vue        |        247 |          1 |         47 |        295 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\snippet\SnippetContent.vue                          | Vue        |        160 |          0 |         20 |        180 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\snippet\SnippetEdit.vue                             | Vue        |         73 |          0 |          5 |         78 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\snippet\modal-snippet.vue                           | Vue        |         58 |          0 |          8 |         66 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\video\components\VideoContent.vue                   | Vue        |         82 |          0 |         13 |         95 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\video\components\VideoPlay.vue                      | Vue        |         63 |          0 |         12 |         75 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\video\components\VideoPlaySide.vue                  | Vue        |         84 |          0 |         15 |         99 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\video\components\VideoSidebar.vue                   | Vue        |         36 |          0 |          6 |         42 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\video\data\data.ts                                  | TypeScript |         15 |          0 |          2 |         17 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\video\data\index.ts                                 | TypeScript |         12 |          0 |          3 |         15 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\video\index.vue                                     | Vue        |         30 |          0 |          7 |         37 |
| Total                                                                                     |            |      7,968 |        811 |        962 |      9,741 |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
